Entry	Entry Name	Protein names	Organism	Length	Gene Ontology (molecular function)	Function [CC]	Gene Names
Q9Y448	SKAP_HUMAN	Small kinetochore-associated protein (SKAP) (Kinetochore-localized astrin-binding protein) (Kinastrin) (Kinetochore-localized astrin/SPAG5-binding protein) (TRAF4-associated factor 1)	Homo sapiens (Human)	316	microtubule plus-end binding [GO:0051010]; protein homodimerization activity [GO:0042803]	FUNCTION: Essential component of the mitotic spindle required for faithful chromosome segregation and progression into anaphase (PubMed:19667759). Promotes the metaphase-to-anaphase transition and is required for chromosome alignment, normal timing of sister chromatid segregation, and maintenance of spindle pole architecture (PubMed:19667759, PubMed:22110139). The astrin (SPAG5)-kinastrin (SKAP) complex promotes stable microtubule-kinetochore attachments (PubMed:21402792). Required for kinetochore oscillations and dynamics of microtubule plus-ends during live cell mitosis, possibly by forming a link between spindle microtubule plus-ends and mitotic chromosomes to achieve faithful cell division (PubMed:23035123). May be involved in UV-induced apoptosis via its interaction with PRPF19; however, these results need additional evidences (PubMed:24718257). {ECO:0000269|PubMed:19667759, ECO:0000269|PubMed:21402792, ECO:0000269|PubMed:22110139, ECO:0000269|PubMed:23035123, ECO:0000305|PubMed:24718257}.	KNSTRN C15orf23 SKAP TRAF4AF1 HSD11
Q9Y466	NR2E1_HUMAN	Nuclear receptor subfamily 2 group E member 1 (Nuclear receptor TLX) (Protein tailless homolog) (Tll) (hTll)	Homo sapiens (Human)	385	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; histone deacetylase binding [GO:0042826]; nuclear receptor activity [GO:0004879]; nuclear steroid receptor activity [GO:0003707]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]; zinc ion binding [GO:0008270]	FUNCTION: Orphan receptor that binds DNA as a monomer to hormone response elements (HRE) containing an extended core motif half-site sequence 5'-AAGGTCA-3' in which the 5' flanking nucleotides participate in determining receptor specificity (By similarity). May be required to pattern anterior brain differentiation. Involved in the regulation of retinal development and essential for vision. During retinogenesis, regulates PTEN-Cyclin D expression via binding to the promoter region of PTEN and suppressing its activity (By similarity). May be involved in retinoic acid receptor (RAR) regulation in retinal cells. {ECO:0000250}.	NR2E1 TLX
Q9Y478	AAKB1_HUMAN	5'-AMP-activated protein kinase subunit beta-1 (AMPK subunit beta-1) (AMPKb)	Homo sapiens (Human)	270	protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]	FUNCTION: Non-catalytic subunit of AMP-activated protein kinase (AMPK), an energy sensor protein kinase that plays a key role in regulating cellular energy metabolism. In response to reduction of intracellular ATP levels, AMPK activates energy-producing pathways and inhibits energy-consuming processes: inhibits protein, carbohydrate and lipid biosynthesis, as well as cell growth and proliferation. AMPK acts via direct phosphorylation of metabolic enzymes, and by longer-term effects via phosphorylation of transcription regulators. Also acts as a regulator of cellular polarity by remodeling the actin cytoskeleton; probably by indirectly activating myosin. Beta non-catalytic subunit acts as a scaffold on which the AMPK complex assembles, via its C-terminus that bridges alpha (PRKAA1 or PRKAA2) and gamma subunits (PRKAG1, PRKAG2 or PRKAG3).	PRKAB1 AMPK
Q9Y484	WIPI4_HUMAN	WD repeat domain phosphoinositide-interacting protein 4 (WIPI-4) (WD repeat-containing protein 45)	Homo sapiens (Human)	360	phosphatidylinositol phosphate binding [GO:1901981]; phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]; phosphatidylinositol-3-phosphate binding [GO:0032266]; protein kinase binding [GO:0019901]	FUNCTION: Component of the autophagy machinery that controls the major intracellular degradation process by which cytoplasmic materials are packaged into autophagosomes and delivered to lysosomes for degradation (PubMed:23435086, PubMed:28561066). Binds phosphatidylinositol 3-phosphate (PtdIns3P) (PubMed:28561066). Activated by the STK11/AMPK signaling pathway upon starvation, WDR45 is involved in autophagosome assembly downstream of WIPI2, regulating the size of forming autophagosomes (PubMed:28561066). Together with WIPI1, promotes ATG2 (ATG2A or ATG2B)-mediated lipid transfer by enhancing ATG2-association with phosphatidylinositol 3-monophosphate (PI3P)-containing membranes (PubMed:31271352). Probably recruited to membranes through its PtdIns3P activity (PubMed:28561066). {ECO:0000269|PubMed:23435086, ECO:0000269|PubMed:28561066, ECO:0000269|PubMed:31271352}.	WDR45 WDRX1 WDRXI4 WIPI4 JM5
Q9Y4L5	RN115_HUMAN	E3 ubiquitin-protein ligase RNF115 (EC 2.3.2.27) (RING finger protein 115) (RING-type E3 ubiquitin transferase RNF115) (Rab7-interacting RING finger protein) (Rabring 7) (Zinc finger protein 364)	Homo sapiens (Human)	304	metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]	FUNCTION: E3 ubiquitin-protein ligase that catalyzes the 'Lys-48'- and/or 'Lys-63'-linked polyubiquitination of various substrates and thereby plays a role in a number of signaling pathways including autophagy, innate immunity, cell proliferation and cell death (PubMed:20019814, PubMed:30689267). Plays a role in the endosomal trafficking and degradation of membrane receptors including EGFR, FLT3, MET and CXCR4 through their polyubiquitination. Participates together with BST2 in antiviral immunity by facilitating the internalization of HIV-1 virions into intracellular vesicles leading to their lysosomal degradation (PubMed:20019814). Possesses also an antiviral activity independently of BST2 by promoting retroviral GAG proteins ubiquitination, redistribution to endo-lysosomal compartments and, ultimately, lysosomal degradation (PubMed:24852021). Catalyzes distinct types of ubiquitination on MAVS and STING1 at different phases of viral infection to promote innate antiviral response (PubMed:33139700). Mediates the 'Lys-48'-linked ubiquitination of MAVS leading to its proteasomal degradation and ubiquitinates STING1 via 'Lys-63'-linked polyubiquitination, critical for its oligomerization and the subsequent recruitment of TBK1 (PubMed:33139700). Plays a positive role in the autophagosome-lysosome fusion by interacting with STX17 and enhancing its stability without affecting 'Lys-48'- or 'Lys-63'-linked polyubiquitination levels, which in turn promotes autophagosome maturation (PubMed:32980859). Negatively regulates TLR-induced expression of proinflammatory cytokines by catalyzing 'Lys-11'-linked ubiquitination of RAB1A and RAB13 to inhibit post-ER trafficking of TLRs to the Golgi by RAB1A and subsequently from the Golgi apparatus to the cell surface by RAB13 (PubMed:35343654). {ECO:0000269|PubMed:16288031, ECO:0000269|PubMed:18819927, ECO:0000269|PubMed:20019814, ECO:0000269|PubMed:24852021, ECO:0000269|PubMed:32980859, ECO:0000269|PubMed:33139700, ECO:0000269|PubMed:35343654, ECO:0000303|PubMed:23418353}.	RNF115 ZNF364
Q9Y4P1	ATG4B_HUMAN	Cysteine protease ATG4B (EC 3.4.22.-) (AUT-like 1 cysteine endopeptidase) (Autophagy-related cysteine endopeptidase 1) (Autophagin-1) (Autophagy-related protein 4 homolog B) (HsAPG4B) (hAPG4B)	Homo sapiens (Human)	393	cysteine-type endopeptidase activity [GO:0004197]; cysteine-type peptidase activity [GO:0008234]; endopeptidase activity [GO:0004175]; protein-phosphatidylethanolamide deconjugating activity [GO:0019786]; scaffold protein binding [GO:0097110]	FUNCTION: Cysteine protease that plays a key role in autophagy by mediating both proteolytic activation and delipidation of ATG8 family proteins (PubMed:15169837, PubMed:15187094, PubMed:17347651, PubMed:19322194, PubMed:21177865, PubMed:22302004, PubMed:26378241, PubMed:27527864, PubMed:28633005, PubMed:28821708, PubMed:29232556, PubMed:30076329, PubMed:30443548, PubMed:30661429). Required for canonical autophagy (macroautophagy), non-canonical autophagy as well as for mitophagy (PubMed:33773106, PubMed:33909989). The protease activity is required for proteolytic activation of ATG8 family proteins: cleaves the C-terminal amino acid of ATG8 proteins MAP1LC3A, MAP1LC3B, MAP1LC3C, GABARAPL1, GABARAPL2 and GABARAP, to reveal a C-terminal glycine (PubMed:15169837, PubMed:15187094, PubMed:17347651, PubMed:19322194, PubMed:20818167, PubMed:21177865, PubMed:22302004, PubMed:27527864, PubMed:28287329, PubMed:28633005, PubMed:29458288, PubMed:30661429). Exposure of the glycine at the C-terminus is essential for ATG8 proteins conjugation to phosphatidylethanolamine (PE) and insertion to membranes, which is necessary for autophagy (PubMed:15169837, PubMed:15187094, PubMed:17347651, PubMed:19322194, PubMed:21177865, PubMed:22302004). Protease activity is also required to counteract formation of high-molecular weight conjugates of ATG8 proteins (ATG8ylation): acts as a deubiquitinating-like enzyme that removes ATG8 conjugated to other proteins, such as ATG3 (PubMed:31315929, PubMed:33773106). In addition to the protease activity, also mediates delipidation of ATG8 family proteins (PubMed:15187094, PubMed:19322194, PubMed:28633005, PubMed:29458288, PubMed:32686895, PubMed:33909989). Catalyzes delipidation of PE-conjugated forms of ATG8 proteins during macroautophagy (PubMed:15187094, PubMed:19322194, PubMed:29458288, PubMed:32686895, PubMed:33909989). Also involved in non-canonical autophagy, a parallel pathway involving conjugation of ATG8 proteins to single membranes at endolysosomal compartments, by catalyzing delipidation of ATG8 proteins conjugated to phosphatidylserine (PS) (PubMed:33909989). Compared to other members of the family (ATG4A, ATG4C or ATG4C), constitutes the major protein for proteolytic activation of ATG8 proteins, while it displays weaker delipidation activity than other ATG4 paralogs (PubMed:29458288, PubMed:30661429). Involved in phagophore growth during mitophagy independently of its protease activity and of ATG8 proteins: acts by regulating ATG9A trafficking to mitochondria and promoting phagophore-endoplasmic reticulum contacts during the lipid transfer phase of mitophagy (PubMed:33773106). {ECO:0000269|PubMed:15169837, ECO:0000269|PubMed:15187094, ECO:0000269|PubMed:17347651, ECO:0000269|PubMed:19322194, ECO:0000269|PubMed:20818167, ECO:0000269|PubMed:21177865, ECO:0000269|PubMed:22302004, ECO:0000269|PubMed:26378241, ECO:0000269|PubMed:27527864, ECO:0000269|PubMed:28287329, ECO:0000269|PubMed:28633005, ECO:0000269|PubMed:28821708, ECO:0000269|PubMed:29232556, ECO:0000269|PubMed:29458288, ECO:0000269|PubMed:30076329, ECO:0000269|PubMed:30443548, ECO:0000269|PubMed:30661429, ECO:0000269|PubMed:31315929, ECO:0000269|PubMed:32686895, ECO:0000269|PubMed:33773106, ECO:0000269|PubMed:33909989}.	ATG4B APG4B AUTL1 KIAA0943
Q9Y4P9	SPEF1_HUMAN	Sperm flagellar protein 1	Homo sapiens (Human)	236	actin binding [GO:0003779]; microtubule binding [GO:0008017]	FUNCTION: Microtubule-associated protein involved in the stabilization of microtubules along the axis of migration during radial intercalation. Promotes the establishment and stabilization of an axis of microtubules required for the active migration of cells into the outer epithelium (By similarity). Microtubule-associated protein that promotes microtubule bundling and stabilizes microtubules against depolymerization in response to cold shock (By similarity). Essential for ciliary central apparatus formation which requires both its microtubule-binding and bundling activities and for ciliary localization of HYDIN and SPAG6 in ependymal cilia (By similarity). Binds actin in intestinal epithelial cells (IECs), essential for IECs survival and contributes to formation of filopodia and lamellipodia in migrating IECs (PubMed:31473225). Regulates planar cell polarity signaling pathway and asymmetric microtubule accumulation in ciliated epithelia (By similarity). {ECO:0000250|UniProtKB:Q0IH24, ECO:0000250|UniProtKB:Q99JL1, ECO:0000269|PubMed:31473225}.	SPEF1 C20orf28
Q9Y4U1	MMAC_HUMAN	Cyanocobalamin reductase / alkylcobalamin dealkylase (Alkylcobalamin:glutathione S-alkyltransferase) (EC 2.5.1.151) (CblC) (Cyanocobalamin reductase (cyanide-eliminating)) (EC 1.16.1.6) (Methylmalonic aciduria and homocystinuria type C protein) (MMACHC)	Homo sapiens (Human)	282	cobalamin binding [GO:0031419]; cyanocobalamin reductase (cyanide-eliminating) (NADP+) activity [GO:0033787]; demethylase activity [GO:0032451]; FAD binding [GO:0071949]; glutathione binding [GO:0043295]; oxidoreductase activity [GO:0016491]; protein homodimerization activity [GO:0042803]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]	FUNCTION: Cobalamin (vitamin B12) cytosolic chaperone that catalyzes the reductive decyanation of cyanocob(III)alamin (cyanocobalamin, CNCbl) to yield cob(II)alamin and cyanide, using FAD or FMN as cofactors and NADPH as cosubstrate (PubMed:18779575, PubMed:19700356, PubMed:21697092, PubMed:25809485). Cyanocobalamin constitutes the inactive form of vitamin B12 introduced from the diet, and is converted into the active cofactors methylcobalamin (MeCbl) involved in methionine biosynthesis, and 5'-deoxyadenosylcobalamin (AdoCbl) involved in the TCA cycle (PubMed:19801555). Forms a complex with the lysosomal transporter ABCD4 and its chaperone LMBRD1, to transport cobalamin across the lysosomal membrane into the cytosol (PubMed:25535791). The processing of cobalamin in the cytosol occurs in a multiprotein complex composed of at least MMACHC, MMADHC, MTRR (methionine synthase reductase) and MTR (methionine synthase) which may contribute to shuttle safely and efficiently cobalamin towards MTR in order to produce methionine (PubMed:21071249, PubMed:27771510). Also acts as a glutathione transferase by catalyzing the dealkylation of the alkylcob(III)alamins MeCbl and AdoCbl, using the thiolate of glutathione for nucleophilic displacement to generate cob(I)alamin and the corresponding glutathione thioether (PubMed:19801555, PubMed:21697092, PubMed:22642810, PubMed:25809485). The conversion of incoming MeCbl or AdoCbl into a common intermediate cob(I)alamin is necessary to meet the cellular needs for both cofactors (PubMed:19801555). Cysteine and homocysteine cannot substitute for glutathione in this reaction (PubMed:19801555). {ECO:0000269|PubMed:18779575, ECO:0000269|PubMed:19700356, ECO:0000269|PubMed:19801555, ECO:0000269|PubMed:21071249, ECO:0000269|PubMed:21697092, ECO:0000269|PubMed:22642810, ECO:0000269|PubMed:25809485, ECO:0000269|PubMed:27771510, ECO:0000303|PubMed:19801555, ECO:0000303|PubMed:25535791}.	MMACHC
Q9Y4X0	AMMR1_HUMAN	Nuclear protein AMMECR1 (AMME syndrome candidate gene 1 protein)	Homo sapiens (Human)	333			AMMECR1
Q9Y4Z2	NGN3_HUMAN	Neurogenin-3 (NGN-3) (Class A basic helix-loop-helix protein 7) (bHLHa7) (Protein atonal homolog 5)	Homo sapiens (Human)	214	chromatin DNA binding [GO:0031490]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; E-box binding [GO:0070888]; protein dimerization activity [GO:0046983]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]	FUNCTION: Acts as a transcriptional regulator. Together with NKX2-2, initiates transcriptional activation of NEUROD1. Involved in neurogenesis. Also required for the specification of a common precursor of the 4 pancreatic endocrine cell types (By similarity). {ECO:0000250}.	NEUROG3 ATOH5 BHLHA7 NGN3
Q9Y508	RN114_HUMAN	E3 ubiquitin-protein ligase RNF114 (EC 2.3.2.27) (RING finger protein 114) (RING-type E3 ubiquitin transferase RNF114) (Zinc finger protein 228) (Zinc finger protein 313)	Homo sapiens (Human)	228	metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]	FUNCTION: E3 ubiquitin-protein ligase that promotes the ubiquitination of various substrates (PubMed:23645206, PubMed:25165885). In turn, participates in the regulation of many biological processes including cell cycle, apoptosis, osteoclastogenesis as well as innate or adaptive immunity (PubMed:25165885, PubMed:28708287). Acts as a negative regulator of NF-kappa-B-dependent transcription by promoting the ubiquitination and stabilization of the NF-kappa-B inhibitor TNFAIP3 (PubMed:25165885). May promote the ubiquitination of TRAF6 as well (PubMed:28708287). Acts also as a negative regulator of T-cell activation (PubMed:25165885). Inhibits cellular dsRNA responses and interferon production by targeting MAVS component for proteasomal degradation (PubMed:25165885). Ubiquitinates the CDK inhibitor CDKN1A leading to its degradationand probably also CDKN1B and CDKN1C (PubMed:23645206). This activity stimulates cell cycle G1-to-S phase transition and suppresses cellular senescence. May play a role in spermatogenesis. {ECO:0000269|PubMed:23645206, ECO:0000269|PubMed:25165885, ECO:0000269|PubMed:28625874, ECO:0000269|PubMed:28708287}.	RNF114 ZNF228 ZNF313
Q9Y535	RPC8_HUMAN	DNA-directed RNA polymerase III subunit RPC8 (RNA polymerase III subunit C8) (DNA-directed RNA polymerase III subunit H) (RNA polymerase III subunit 22.9 kDa subunit) (RPC22.9)	Homo sapiens (Human)	204	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]	FUNCTION: DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (PubMed:20413673, PubMed:33558764, PubMed:34675218). Specific peripheric component of RNA polymerase III (Pol III) which synthesizes small non-coding RNAs including 5S rRNA, snRNAs, tRNAs and miRNAs from at least 500 distinct genomic loci. With CRCP/RPC9 forms a mobile stalk that protrudes from Pol III core and functions primarily in transcription initiation (By similarity) (PubMed:33558764, PubMed:34675218). Pol III plays a key role in sensing and limiting infection by intracellular bacteria and DNA viruses. Acts as nuclear and cytosolic DNA sensor involved in innate immune response. Can sense non-self dsDNA that serves as template for transcription into dsRNA. The non-self RNA polymerase III transcripts, such as Epstein-Barr virus-encoded RNAs (EBERs) induce type I interferon and NF-kappa-B through the RIG-I pathway (PubMed:19609254, PubMed:19631370). {ECO:0000250, ECO:0000250|UniProtKB:O94285, ECO:0000269|PubMed:19609254, ECO:0000269|PubMed:19631370, ECO:0000269|PubMed:20413673, ECO:0000269|PubMed:33558764, ECO:0000269|PubMed:34675218}.	POLR3H KIAA1665 RPC8
Q9Y548	YIPF1_HUMAN	Protein YIPF1 (YIP1 family member 1)	Homo sapiens (Human)	306	small GTPase binding [GO:0031267]		YIPF1
Q9Y570	PPME1_HUMAN	Protein phosphatase methylesterase 1 (PME-1) (EC 3.1.1.89)	Homo sapiens (Human)	386	cadherin binding [GO:0045296]; lncRNA binding [GO:0106222]; protein C-terminal methylesterase activity [GO:0051722]; protein kinase binding [GO:0019901]; protein methylesterase activity [GO:0051723]; protein phosphatase 2A binding [GO:0051721]; protein phosphatase binding [GO:0019903]; protein phosphatase inhibitor activity [GO:0004864]; protein phosphatase regulator activity [GO:0019888]	FUNCTION: Demethylates proteins that have been reversibly carboxymethylated. Demethylates PPP2CB (in vitro) and PPP2CA. Binding to PPP2CA displaces the manganese ion and inactivates the enzyme. {ECO:0000269|PubMed:10318862}.	PPME1 PME1 PP2593 PRO0750
Q9Y576	ASB1_HUMAN	Ankyrin repeat and SOCS box protein 1 (ASB-1)	Homo sapiens (Human)	335		FUNCTION: Probable substrate-recognition component of a SCF-like ECS (Elongin-Cullin-SOCS-box protein) E3 ligase complex which mediates the ubiquitination and subsequent proteasomal degradation of target proteins (PubMed:16325183). Mediates Notch-induced ubiquitination and degradation of TCF3/E2A and JAK2 (PubMed:21119685). May play a role in testis development (By similarity). {ECO:0000250|UniProtKB:Q9WV74, ECO:0000269|PubMed:16325183, ECO:0000269|PubMed:21119685}.	ASB1 KIAA1146
Q9Y580	RBM7_HUMAN	RNA-binding protein 7 (RNA-binding motif protein 7)	Homo sapiens (Human)	266	14-3-3 protein binding [GO:0071889]; pre-mRNA intronic binding [GO:0097157]; RNA binding [GO:0003723]; single-stranded RNA binding [GO:0003727]; snRNA binding [GO:0017069]	FUNCTION: RNA-binding subunit of the trimeric nuclear exosome targeting (NEXT) complex, a complex that functions as an RNA exosome cofactor that directs a subset of non-coding short-lived RNAs for exosomal degradation (PubMed:25189701, PubMed:25525152, PubMed:25578728, PubMed:25852104, PubMed:27871484). NEXT is involved in surveillance and turnover of aberrant transcripts and non-coding RNAs (PubMed:25189701, PubMed:25852104, PubMed:27871484). Binds preferentially polyuridine sequences and associates with newly synthesized RNAs, including pre-mRNAs and short-lived exosome substrates such as promoter upstream transcripts (PROMPTs), enhancer RNAs (eRNAs), and 3'-extended products from small nuclear RNAs (snRNAs) (PubMed:25189701, PubMed:25525152, PubMed:25578728, PubMed:25852104). Participates in several biological processes including DNA damage response (DDR) and stress response (PubMed:25525152, PubMed:30824372). During stress response, activation of the p38MAPK-MK2 pathway decreases RBM7-RNA-binding and subsequently the RNA exosome degradation activities, thereby modulating the turnover of non-coding transcriptome (PubMed:25525152). Participates in DNA damage response (DDR), through its interaction with MEPCE and LARP7, the core subunits of 7SK snRNP complex, that release the positive transcription elongation factor b (P-TEFb) complex from the 7SK snRNP. In turn, activation of P-TEFb complex induces the transcription of P-TEFb-dependent DDR genes to promote cell viability (PubMed:30824372). {ECO:0000269|PubMed:25189701, ECO:0000269|PubMed:25525152, ECO:0000269|PubMed:25578728, ECO:0000269|PubMed:25852104, ECO:0000269|PubMed:27871484, ECO:0000269|PubMed:30824372}.	RBM7
Q9Y586	MB212_HUMAN	Protein mab-21-like 2	Homo sapiens (Human)	359		FUNCTION: Required for several aspects of embryonic development including normal development of the eye. {ECO:0000269|PubMed:24906020, ECO:0000269|PubMed:25719200}.	MAB21L2
Q9Y5B8	NDK7_HUMAN	Nucleoside diphosphate kinase homolog 7 (NDK 7) (NDP kinase homolog 7) (3'-5' exonuclease NME7) (EC 3.1.-.-) (Protein kinase NME7) (EC 2.7.-.-) (nm23-H7)	Homo sapiens (Human)	376	3'-5' exonuclease activity [GO:0008408]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	FUNCTION: Possesses an intrinsic kinase activity (PubMed:24807905). Displays 3'-5' exonuclease activity with a preference for single-stranded DNA (PubMed:16313181). Does not seem to have nucleoside diphosphate kinase activity (PubMed:16313181, PubMed:24807905). Functional component of the gamma-tubulin ring complex, implicated in the regulation of the microtubule-nucleating activity of the gamma-tubulin ring complex in centrosomes, in a kinase activity-dependent manner (PubMed:24807905). Part of the dynein-decorated doublet microtubules (DMTs) in cilia axoneme, which is required for motile cilia beating (PubMed:36191189). {ECO:0000269|PubMed:16313181, ECO:0000269|PubMed:24807905, ECO:0000269|PubMed:36191189}.	NME7
Q9Y5I7	CLD16_HUMAN	Claudin-16 (Paracellin-1) (PCLN-1)	Homo sapiens (Human)	235	identical protein binding [GO:0042802]; magnesium ion transmembrane transporter activity [GO:0015095]; paracellular tight junction channel activity [GO:0160187]; PDZ domain binding [GO:0030165]; structural molecule activity [GO:0005198]	FUNCTION: Forms paracellular channels: coassembles with CLDN19 into tight junction strands with cation-selective channels through the strands, conveying epithelial permeability in a process known as paracellular tight junction permeability (PubMed:16234325, PubMed:18188451, PubMed:28028216). Involved in the maintenance of ion gradients along the nephron. In the thick ascending limb (TAL) of Henle's loop, facilitates sodium paracellular permeability from the interstitial compartment to the lumen, contributing to the lumen-positive transepithelial potential that drives paracellular magnesium and calcium reabsorption (PubMed:10390358, PubMed:11518780, PubMed:14628289, PubMed:16528408, PubMed:28028216). {ECO:0000269|PubMed:10390358, ECO:0000269|PubMed:11518780, ECO:0000269|PubMed:14628289, ECO:0000269|PubMed:16234325, ECO:0000269|PubMed:16528408, ECO:0000269|PubMed:18188451, ECO:0000269|PubMed:28028216}.	CLDN16 PCLN1
Q9Y5J3	HEY1_HUMAN	Hairy/enhancer-of-split related with YRPW motif protein 1 (Cardiovascular helix-loop-helix factor 2) (CHF-2) (Class B basic helix-loop-helix protein 31) (bHLHb31) (HES-related repressor protein 1) (Hairy and enhancer of split-related protein 1) (HESR-1) (Hairy-related transcription factor 1) (HRT-1) (hHRT1)	Homo sapiens (Human)	304	cis-regulatory region sequence-specific DNA binding [GO:0000987]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; protein dimerization activity [GO:0046983]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; sequence-specific double-stranded DNA binding [GO:1990837]	FUNCTION: Transcriptional repressor which binds preferentially to the canonical E box sequence 5'-CACGTG-3' (PubMed:11095750). Downstream effector of Notch signaling required for cardiovascular development. Specifically required for the Notch-induced endocardial epithelial to mesenchymal transition, which is itself criticial for cardiac valve and septum development. May be required in conjunction with HEY2 to specify arterial cell fate or identity. Promotes maintenance of neuronal precursor cells and glial versus neuronal fate specification. Represses transcription by the cardiac transcriptional activators GATA4 and GATA6 and by the neuronal bHLH factors ASCL1/MASH1 and NEUROD4/MATH3 (PubMed:15485867). Involved in the regulation of liver cancer cells self-renewal (PubMed:25985737). {ECO:0000250|UniProtKB:Q9WV93, ECO:0000269|PubMed:11095750, ECO:0000269|PubMed:15485867, ECO:0000269|PubMed:25985737}.	HEY1 BHLHB31 CHF2 HERP2 HESR1 HRT1
Q9Y5K1	SPO11_HUMAN	Meiotic recombination protein SPO11 (EC 5.6.2.2) (Cancer/testis antigen 35) (CT35)	Homo sapiens (Human)	396	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]; metal ion binding [GO:0046872]	FUNCTION: Component of a topoisomerase 6 complex specifically required for meiotic recombination. Together with TOP6BL, mediates DNA cleavage that forms the double-strand breaks (DSB) that initiate meiotic recombination. The complex promotes relaxation of negative and positive supercoiled DNA and DNA decatenation through cleavage and ligation cycles. Essential for the phosphorylation of SMC3, HORMAD1 and HORMAD2. {ECO:0000250|UniProtKB:Q9WTK8}.	SPO11
Q9Y5K2	KLK4_HUMAN	Kallikrein-4 (EC 3.4.21.-) (Enamel matrix serine proteinase 1) (Kallikrein-like protein 1) (KLK-L1) (Prostase) (Serine protease 17)	Homo sapiens (Human)	254	metal ion binding [GO:0046872]; serine-type endopeptidase activity [GO:0004252]; serine-type peptidase activity [GO:0008236]	FUNCTION: Has a major role in enamel formation (PubMed:15235027). Required during the maturation stage of tooth development for clearance of enamel proteins and normal structural patterning of the crystalline matrix (By similarity). {ECO:0000250|UniProtKB:Q9Z0M1, ECO:0000269|PubMed:15235027}.	KLK4 EMSP1 PRSS17 PSTS
Q9Y5K3	PCY1B_HUMAN	Choline-phosphate cytidylyltransferase B (EC 2.7.7.15) (CCT-beta) (CTP:phosphocholine cytidylyltransferase B) (CCT B) (CT B) (Phosphorylcholine transferase B)	Homo sapiens (Human)	369	choline-phosphate cytidylyltransferase activity [GO:0004105]; identical protein binding [GO:0042802]; phosphatidylcholine binding [GO:0031210]	FUNCTION: [Isoform 1]: Catalyzes the key rate-limiting step in the CDP-choline pathway for phosphatidylcholine biosynthesis. {ECO:0000269|PubMed:10480912, ECO:0000269|PubMed:9593753}.; FUNCTION: [Isoform 2]: Catalyzes the key rate-limiting step in the CDP-choline pathway for phosphatidylcholine biosynthesis. {ECO:0000269|PubMed:10480912}.	PCYT1B CCTB
Q9Y5K5	UCHL5_HUMAN	Ubiquitin carboxyl-terminal hydrolase isozyme L5 (UCH-L5) (EC 3.4.19.12) (Ubiquitin C-terminal hydrolase UCH37) (Ubiquitin thioesterase L5)	Homo sapiens (Human)	329	cysteine-type deubiquitinase activity [GO:0004843]; endopeptidase inhibitor activity [GO:0004866]; proteasome binding [GO:0070628]; RNA binding [GO:0003723]	FUNCTION: Protease that specifically cleaves 'Lys-48'-linked polyubiquitin chains. Deubiquitinating enzyme associated with the 19S regulatory subunit of the 26S proteasome. Putative regulatory component of the INO80 complex; however is inactive in the INO80 complex and is activated by a transient interaction of the INO80 complex with the proteasome via ADRM1. {ECO:0000269|PubMed:16906146, ECO:0000269|PubMed:18922472}.	UCHL5 UCH37 AD-019 CGI-70
